,white_min,white_median,white_max,color_min,color_median,color_max,high_min_color,high_median_color,high_max_color
VIOLATION OF PROBATION OR COND DISCHG,116.0,30000.0,1500000.0,150.0,40000.0,2850000.0,1,1,1
ASSAULT THIRD DEGREE                 AM,153.0,12500.0,371000.0,200.0,15000.0,1000000.0,1,1,1
POSSESSION OF NARCOTICS,101.0,10500.0,503000.0,150.0,20000.0,850100.0,1,1,1
SALE OF NARC/AMPHET BY NON-DEPENDENT   F,200.0,80000.0,905000.0,300.0,100000.0,2150000.0,1,1,1
BURGLARY SECOND DEGREE               CF,150.0,50000.0,751500.0,200.0,55000.0,1200000.0,1,1,1
BREACH OF PEACE                       BM,103.0,5100.0,202500.0,250.0,10000.0,435100.0,1,1,1
CRIM VIOL RES ORDER                   AM,150.0,25050.0,500000.0,500.0,35000.0,910000.0,1,1,1
